,path,emotion
28,data/training\Actor_01\01_02_02_02_dogs-sitting-manipulated-_negative.wav,negative
29,data/training\Actor_01\01_02_02_02_dogs-sitting_negative.wav,negative
30,data/training\Actor_01\01_02_02_02_kids-talking-converted-manipulated-_negative.wav,negative
31,data/training\Actor_01\01_02_02_02_kids-talking_negative.wav,negative
32,data/training\Actor_01\03-02-04-01-01-01-01-converted-manipulated-_negative.wav,negative
33,data/training\Actor_01\03-02-04-01-01-01-01_negative.wav,negative
34,data/training\Actor_01\03-02-04-01-01-02-01-converted-manipulated-_negative.wav,negative
35,data/training\Actor_01\03-02-04-01-01-02-01_negative.wav,negative
36,data/training\Actor_01\03-02-04-01-02-01-01-converted-manipulated-_negative.wav,negative
37,data/training\Actor_01\03-02-04-01-02-01-01_negative.wav,negative
38,data/training\Actor_01\03-02-04-01-02-02-01-converted-manipulated-_negative.wav,negative
39,data/training\Actor_01\03-02-04-01-02-02-01_negative.wav,negative
40,data/training\Actor_01\03-02-04-02-01-01-01-converted-manipulated-_negative.wav,negative
41,data/training\Actor_01\03-02-04-02-01-01-01_negative.wav,negative
42,data/training\Actor_01\03-02-04-02-01-02-01-converted-manipulated-_negative.wav,negative
43,data/training\Actor_01\03-02-04-02-01-02-01_negative.wav,negative
44,data/training\Actor_01\03-02-04-02-02-01-01-converted-manipulated-_negative.wav,negative
45,data/training\Actor_01\03-02-04-02-02-01-01_negative.wav,negative
46,data/training\Actor_01\03-02-04-02-02-02-01-manipulated-_negative.wav,negative
47,data/training\Actor_01\03-02-04-02-02-02-01_negative.wav,negative
48,data/training\Actor_01\03-02-05-01-01-01-01-manipulated-_negative.wav,negative
49,data/training\Actor_01\03-02-05-01-01-01-01_negative.wav,negative
50,data/training\Actor_01\03-02-05-01-01-02-01-converted-manipulated-_negative.wav,negative
51,data/training\Actor_01\03-02-05-01-01-02-01_negative.wav,negative
52,data/training\Actor_01\03-02-05-01-02-01-01-converted-manipulated-_negative.wav,negative
53,data/training\Actor_01\03-02-05-01-02-01-01_negative.wav,negative
54,data/training\Actor_01\03-02-05-01-02-02-01-manipulated-_negative.wav,negative
55,data/training\Actor_01\03-02-05-01-02-02-01_negative.wav,negative
56,data/training\Actor_01\03-02-05-02-01-01-01-converted-manipulated-_negative.wav,negative
57,data/training\Actor_01\03-02-05-02-01-01-01_negative.wav,negative
58,data/training\Actor_01\03-02-05-02-01-02-01-manipulated-_negative.wav,negative
59,data/training\Actor_01\03-02-05-02-01-02-01_negative.wav,negative
60,data/training\Actor_01\03-02-05-02-02-01-01-converted-manipulated-_negative.wav,negative
61,data/training\Actor_01\03-02-05-02-02-01-01_negative.wav,negative
62,data/training\Actor_01\03-02-05-02-02-02-01-converted-manipulated-_negative.wav,negative
63,data/training\Actor_01\03-02-05-02-02-02-01_negative.wav,negative
64,data/training\Actor_01\03-02-06-01-01-01-01-manipulated-_negative.wav,negative
65,data/training\Actor_01\03-02-06-01-01-01-01_negative.wav,negative
66,data/training\Actor_01\03-02-06-01-01-02-01-converted-manipulated-_negative.wav,negative
67,data/training\Actor_01\03-02-06-01-01-02-01_negative.wav,negative
68,data/training\Actor_01\03-02-06-01-02-01-01-converted-manipulated-_negative.wav,negative
69,data/training\Actor_01\03-02-06-01-02-01-01_negative.wav,negative
70,data/training\Actor_01\03-02-06-01-02-02-01-manipulated-_negative.wav,negative
71,data/training\Actor_01\03-02-06-01-02-02-01_negative.wav,negative
72,data/training\Actor_01\03-02-06-02-01-01-01-manipulated-_negative.wav,negative
73,data/training\Actor_01\03-02-06-02-01-01-01_negative.wav,negative
74,data/training\Actor_01\03-02-06-02-01-02-01-converted-manipulated-_negative.wav,negative
75,data/training\Actor_01\03-02-06-02-01-02-01_negative.wav,negative
76,data/training\Actor_01\03-02-06-02-02-01-01-converted-manipulated-_negative.wav,negative
77,data/training\Actor_01\03-02-06-02-02-01-01_negative.wav,negative
78,data/training\Actor_01\03-02-06-02-02-02-01-converted-manipulated-_negative.wav,negative
79,data/training\Actor_01\03-02-06-02-02-02-01_negative.wav,negative
80,data/training\Actor_01\0_01_01_01_01_dogs-sitting-converted-manipulated-_negative.wav,negative
81,data/training\Actor_01\0_01_01_01_01_dogs-sitting_negative.wav,negative
82,data/training\Actor_01\10_01_01_01_02_kids-talking-converted-manipulated-_negative.wav,negative
83,data/training\Actor_01\10_01_01_01_02_kids-talking_negative.wav,negative
84,data/training\Actor_01\11_01_01_01_02_kids-talking-converted-manipulated-_negative.wav,negative
85,data/training\Actor_01\11_01_01_01_02_kids-talking_negative.wav,negative
86,data/training\Actor_01\13_01_01_01_02_kids-talking-manipulated-_negative.wav,negative
87,data/training\Actor_01\13_01_01_01_02_kids-talking_negative.wav,negative
88,data/training\Actor_01\14_01_01_02_01_dogs-sitting-manipulated-_negative.wav,negative
89,data/training\Actor_01\14_01_01_02_01_dogs-sitting_negative.wav,negative
90,data/training\Actor_01\15_01_01_02_01_dogs-sitting-manipulated-_negative.wav,negative
91,data/training\Actor_01\15_01_01_02_01_dogs-sitting_negative.wav,negative
92,data/training\Actor_01\17_01_01_02_01_dogs-sitting-converted-manipulated-_negative.wav,negative
93,data/training\Actor_01\17_01_01_02_01_dogs-sitting_negative.wav,negative
94,data/training\Actor_01\18_01_01_02_01_kids-talking-converted-manipulated-_negative.wav,negative
95,data/training\Actor_01\18_01_01_02_01_kids-talking_negative.wav,negative
96,data/training\Actor_01\19_01_01_02_01_kids-talking-manipulated-_negative.wav,negative
97,data/training\Actor_01\19_01_01_02_01_kids-talking_negative.wav,negative
98,data/training\Actor_01\1_01_01_01_01_dogs-sitting-manipulated-_negative.wav,negative
99,data/training\Actor_01\1_01_01_01_01_dogs-sitting_negative.wav,negative
100,data/training\Actor_01\21_01_01_02_01_kids-talking-converted-manipulated-_negative.wav,negative
101,data/training\Actor_01\21_01_01_02_01_kids-talking_negative.wav,negative
102,data/training\Actor_01\22_01_01_02_02_dogs-sitting-manipulated-_negative.wav,negative
103,data/training\Actor_01\22_01_01_02_02_dogs-sitting_negative.wav,negative
104,data/training\Actor_01\23_01_01_02_02_dogs-sitting-converted-manipulated-_negative.wav,negative
105,data/training\Actor_01\23_01_01_02_02_dogs-sitting_negative.wav,negative
106,data/training\Actor_01\25_01_01_02_02_dogs-sitting-manipulated-_negative.wav,negative
107,data/training\Actor_01\25_01_01_02_02_dogs-sitting_negative.wav,negative
108,data/training\Actor_01\26_01_01_02_02_kids-talking-manipulated-_negative.wav,negative
109,data/training\Actor_01\26_01_01_02_02_kids-talking_negative.wav,negative
110,data/training\Actor_01\27_01_01_02_02_kids-talking-converted-manipulated-_negative.wav,negative
111,data/training\Actor_01\27_01_01_02_02_kids-talking_negative.wav,negative
112,data/training\Actor_01\29_01_01_02_02_kids-talking-manipulated-_negative.wav,negative
113,data/training\Actor_01\29_01_01_02_02_kids-talking_negative.wav,negative
114,data/training\Actor_01\2_01_01_01_01_kids-talking-converted-manipulated-_negative.wav,negative
115,data/training\Actor_01\2_01_01_01_01_kids-talking_negative.wav,negative
116,data/training\Actor_01\30_01_02_01_01_dogs-sitting-manipulated-_negative.wav,negative
117,data/training\Actor_01\30_01_02_01_01_dogs-sitting_negative.wav,negative
118,data/training\Actor_01\31_01_02_01_01_dogs-sitting-manipulated-_negative.wav,negative
119,data/training\Actor_01\31_01_02_01_01_dogs-sitting_negative.wav,negative
120,data/training\Actor_01\32_01_02_01_01_kids-talking-converted-manipulated-_negative.wav,negative
121,data/training\Actor_01\32_01_02_01_01_kids-talking_negative.wav,negative
122,data/training\Actor_01\33_01_02_01_01_kids-talking-converted-manipulated-_negative.wav,negative
123,data/training\Actor_01\33_01_02_01_01_kids-talking_negative.wav,negative
124,data/training\Actor_01\34_01_02_01_02_dogs-sitting-manipulated-_negative.wav,negative
125,data/training\Actor_01\34_01_02_01_02_dogs-sitting_negative.wav,negative
126,data/training\Actor_01\35_01_02_01_02_dogs-sitting-converted-manipulated-_negative.wav,negative
127,data/training\Actor_01\35_01_02_01_02_dogs-sitting_negative.wav,negative
128,data/training\Actor_01\36_01_02_01_02_kids-talking-manipulated-_negative.wav,negative
129,data/training\Actor_01\36_01_02_01_02_kids-talking_negative.wav,negative
130,data/training\Actor_01\37_01_02_01_02_kids-talking-converted-manipulated-_negative.wav,negative
131,data/training\Actor_01\37_01_02_01_02_kids-talking_negative.wav,negative
132,data/training\Actor_01\38_01_02_02_01_dogs-sitting-converted-manipulated-_negative.wav,negative
133,data/training\Actor_01\38_01_02_02_01_dogs-sitting_negative.wav,negative
134,data/training\Actor_01\39_01_02_02_01_dogs-sitting-converted-manipulated-_negative.wav,negative
135,data/training\Actor_01\39_01_02_02_01_dogs-sitting_negative.wav,negative
136,data/training\Actor_01\3_01_01_01_01_kids-talking-converted-manipulated-_negative.wav,negative
137,data/training\Actor_01\3_01_01_01_01_kids-talking_negative.wav,negative
138,data/training\Actor_01\40_01_02_02_01_kids-talking-converted-manipulated-_negative.wav,negative
139,data/training\Actor_01\40_01_02_02_01_kids-talking_negative.wav,negative
140,data/training\Actor_01\41_01_02_02_01_kids-talking-converted-manipulated-_negative.wav,negative
141,data/training\Actor_01\41_01_02_02_01_kids-talking_negative.wav,negative
142,data/training\Actor_01\42_01_02_02_02_dogs-sitting-converted-manipulated-_negative.wav,negative
143,data/training\Actor_01\42_01_02_02_02_dogs-sitting_negative.wav,negative
144,data/training\Actor_01\43_01_02_02_02_dogs-sitting-converted-manipulated-_negative.wav,negative
145,data/training\Actor_01\43_01_02_02_02_dogs-sitting_negative.wav,negative
146,data/training\Actor_01\44_01_02_02_02_kids-talking-converted-manipulated-_negative.wav,negative
147,data/training\Actor_01\44_01_02_02_02_kids-talking_negative.wav,negative
148,data/training\Actor_01\45_01_02_02_02_kids-talking-converted-manipulated-_negative.wav,negative
149,data/training\Actor_01\45_01_02_02_02_kids-talking_negative.wav,negative
150,data/training\Actor_01\5_01_01_01_01_kids-talking-manipulated-_negative.wav,negative
151,data/training\Actor_01\5_01_01_01_01_kids-talking_negative.wav,negative
152,data/training\Actor_01\6_01_01_01_02_dogs-sitting-converted-manipulated-_negative.wav,negative
153,data/training\Actor_01\6_01_01_01_02_dogs-sitting_negative.wav,negative
154,data/training\Actor_01\7_01_01_01_02_dogs-sitting-converted-manipulated-_negative.wav,negative
155,data/training\Actor_01\7_01_01_01_02_dogs-sitting_negative.wav,negative
156,data/training\Actor_01\9_01_01_01_02_dogs-sitting-converted-manipulated-_negative.wav,negative
157,data/training\Actor_01\9_01_01_01_02_dogs-sitting_negative.wav,negative
158,data/training\Actor_02\02_01_01_01_dogs-sitting-converted-manipulated-_negative.wav,negative
159,data/training\Actor_02\02_01_01_01_dogs-sitting_negative.wav,negative
160,data/training\Actor_02\02_01_01_01_kids-talking-converted-manipulated-_negative.wav,negative
161,data/training\Actor_02\02_01_01_01_kids-talking_negative.wav,negative
162,data/training\Actor_02\02_01_01_02_dogs-sitting-converted-manipulated-_negative.wav,negative
163,data/training\Actor_02\02_01_01_02_dogs-sitting_negative.wav,negative
164,data/training\Actor_02\02_01_01_02_kids-talking-converted-manipulated-_negative.wav,negative
165,data/training\Actor_02\02_01_01_02_kids-talking_negative.wav,negative
166,data/training\Actor_02\02_01_02_01_dogs-sitting-manipulated-_negative.wav,negative
167,data/training\Actor_02\02_01_02_01_dogs-sitting_negative.wav,negative
168,data/training\Actor_02\02_01_02_01_kids-talking-manipulated-_negative.wav,negative
169,data/training\Actor_02\02_01_02_01_kids-talking_negative.wav,negative
170,data/training\Actor_02\02_01_02_02_dogs-sitting-converted-manipulated-_negative.wav,negative
171,data/training\Actor_02\02_01_02_02_dogs-sitting_negative.wav,negative
172,data/training\Actor_02\02_01_02_02_kids-talking-converted-manipulated-_negative.wav,negative
173,data/training\Actor_02\02_01_02_02_kids-talking_negative.wav,negative
174,data/training\Actor_02\02_02_01_01_dogs-sitting-converted-manipulated-_negative.wav,negative
175,data/training\Actor_02\02_02_01_01_dogs-sitting_negative.wav,negative
176,data/training\Actor_02\02_02_01_01_kids-talking-converted-manipulated-_negative.wav,negative
177,data/training\Actor_02\02_02_01_01_kids-talking_negative.wav,negative
178,data/training\Actor_02\02_02_01_02_dogs-sitting-converted-manipulated-_negative.wav,negative
179,data/training\Actor_02\02_02_01_02_dogs-sitting_negative.wav,negative
180,data/training\Actor_02\02_02_01_02_kids-talking-converted-manipulated-_negative.wav,negative
181,data/training\Actor_02\02_02_01_02_kids-talking_negative.wav,negative
182,data/training\Actor_02\02_02_02_01_dogs-sitting-manipulated-_negative.wav,negative
183,data/training\Actor_02\02_02_02_01_dogs-sitting_negative.wav,negative
184,data/training\Actor_02\02_02_02_01_kids-talking-converted-manipulated-_negative.wav,negative
185,data/training\Actor_02\02_02_02_01_kids-talking_negative.wav,negative
186,data/training\Actor_02\02_02_02_02_dogs-sitting-manipulated-_negative.wav,negative
187,data/training\Actor_02\02_02_02_02_dogs-sitting_negative.wav,negative
188,data/training\Actor_02\02_02_02_02_kids-talking-converted-manipulated-_negative.wav,negative
189,data/training\Actor_02\02_02_02_02_kids-talking_negative.wav,negative
190,data/training\Actor_02\03-02-04-01-01-01-02-converted-manipulated-_negative.wav,negative
191,data/training\Actor_02\03-02-04-01-01-01-02_negative.wav,negative
192,data/training\Actor_02\03-02-04-01-01-02-02-converted-manipulated-_negative.wav,negative
193,data/training\Actor_02\03-02-04-01-01-02-02_negative.wav,negative
194,data/training\Actor_02\03-02-04-01-02-01-02-manipulated-_negative.wav,negative
195,data/training\Actor_02\03-02-04-01-02-01-02_negative.wav,negative
196,data/training\Actor_02\03-02-04-01-02-02-02-manipulated-_negative.wav,negative
197,data/training\Actor_02\03-02-04-01-02-02-02_negative.wav,negative
198,data/training\Actor_02\03-02-04-02-01-01-02-converted-manipulated-_negative.wav,negative
199,data/training\Actor_02\03-02-04-02-01-01-02_negative.wav,negative
200,data/training\Actor_02\03-02-04-02-01-02-02-manipulated-_negative.wav,negative
201,data/training\Actor_02\03-02-04-02-01-02-02_negative.wav,negative
202,data/training\Actor_02\03-02-04-02-02-01-02-converted-manipulated-_negative.wav,negative
203,data/training\Actor_02\03-02-04-02-02-01-02_negative.wav,negative
204,data/training\Actor_02\03-02-04-02-02-02-02-converted-manipulated-_negative.wav,negative
205,data/training\Actor_02\03-02-04-02-02-02-02_negative.wav,negative
206,data/training\Actor_02\03-02-05-01-01-01-02-converted-manipulated-_negative.wav,negative
207,data/training\Actor_02\03-02-05-01-01-01-02_negative.wav,negative
208,data/training\Actor_02\03-02-05-01-01-02-02-manipulated-_negative.wav,negative
209,data/training\Actor_02\03-02-05-01-01-02-02_negative.wav,negative
210,data/training\Actor_02\03-02-05-01-02-01-02-manipulated-_negative.wav,negative
211,data/training\Actor_02\03-02-05-01-02-01-02_negative.wav,negative
212,data/training\Actor_02\03-02-05-01-02-02-02-converted-manipulated-_negative.wav,negative
213,data/training\Actor_02\03-02-05-01-02-02-02_negative.wav,negative
214,data/training\Actor_02\03-02-05-02-01-01-02-converted-manipulated-_negative.wav,negative
215,data/training\Actor_02\03-02-05-02-01-01-02_negative.wav,negative
216,data/training\Actor_02\03-02-05-02-01-02-02-converted-manipulated-_negative.wav,negative
217,data/training\Actor_02\03-02-05-02-01-02-02_negative.wav,negative
218,data/training\Actor_02\03-02-05-02-02-01-02-converted-manipulated-_negative.wav,negative
219,data/training\Actor_02\03-02-05-02-02-01-02_negative.wav,negative
220,data/training\Actor_02\03-02-05-02-02-02-02-converted-manipulated-_negative.wav,negative
221,data/training\Actor_02\03-02-05-02-02-02-02_negative.wav,negative
222,data/training\Actor_02\03-02-06-01-01-01-02-converted-manipulated-_negative.wav,negative
223,data/training\Actor_02\03-02-06-01-01-01-02_negative.wav,negative
224,data/training\Actor_02\03-02-06-01-01-02-02-converted-manipulated-_negative.wav,negative
225,data/training\Actor_02\03-02-06-01-01-02-02_negative.wav,negative
226,data/training\Actor_02\03-02-06-01-02-01-02-manipulated-_negative.wav,negative
227,data/training\Actor_02\03-02-06-01-02-01-02_negative.wav,negative
228,data/training\Actor_02\03-02-06-01-02-02-02-converted-manipulated-_negative.wav,negative
229,data/training\Actor_02\03-02-06-01-02-02-02_negative.wav,negative
230,data/training\Actor_02\03-02-06-02-01-01-02-converted-manipulated-_negative.wav,negative
231,data/training\Actor_02\03-02-06-02-01-01-02_negative.wav,negative
232,data/training\Actor_02\03-02-06-02-01-02-02-manipulated-_negative.wav,negative
233,data/training\Actor_02\03-02-06-02-01-02-02_negative.wav,negative
234,data/training\Actor_02\03-02-06-02-02-01-02-manipulated-_negative.wav,negative
235,data/training\Actor_02\03-02-06-02-02-01-02_negative.wav,negative
236,data/training\Actor_02\03-02-06-02-02-02-02-converted-manipulated-_negative.wav,negative
237,data/training\Actor_02\03-02-06-02-02-02-02_negative.wav,negative
238,data/training\Actor_02\46_02_01_01_01_dogs-sitting-converted-manipulated-_negative.wav,negative
239,data/training\Actor_02\46_02_01_01_01_dogs-sitting_negative.wav,negative
240,data/training\Actor_02\48_02_01_01_01_dogs-sitting-converted-manipulated-_negative.wav,negative
241,data/training\Actor_02\48_02_01_01_01_dogs-sitting_negative.wav,negative
242,data/training\Actor_02\49_02_01_01_01_kids-talking-converted-manipulated-_negative.wav,negative
243,data/training\Actor_02\49_02_01_01_01_kids-talking_negative.wav,negative
244,data/training\Actor_02\51_02_01_01_01_kids-talking-converted-manipulated-_negative.wav,negative
245,data/training\Actor_02\51_02_01_01_01_kids-talking_negative.wav,negative
246,data/training\Actor_02\52_02_01_01_02_dogs-sitting-manipulated-_negative.wav,negative
247,data/training\Actor_02\52_02_01_01_02_dogs-sitting_negative.wav,negative
248,data/training\Actor_02\53_02_01_01_02_dogs-sitting-converted-manipulated-_negative.wav,negative
249,data/training\Actor_02\53_02_01_01_02_dogs-sitting_negative.wav,negative
250,data/training\Actor_02\55_02_01_01_02_dogs-sitting-converted-manipulated-_negative.wav,negative
251,data/training\Actor_02\55_02_01_01_02_dogs-sitting_negative.wav,negative
252,data/training\Actor_02\56_02_01_01_02_kids-talking-converted-manipulated-_negative.wav,negative
253,data/training\Actor_02\56_02_01_01_02_kids-talking_negative.wav,negative
254,data/training\Actor_02\57_02_01_01_02_kids-talking-converted-manipulated-_negative.wav,negative
255,data/training\Actor_02\57_02_01_01_02_kids-talking_negative.wav,negative
256,data/training\Actor_02\59_02_01_01_02_kids-talking-converted-manipulated-_negative.wav,negative
257,data/training\Actor_02\59_02_01_01_02_kids-talking_negative.wav,negative
258,data/training\Actor_02\60_02_01_02_01_dogs-sitting-manipulated-_negative.wav,negative
259,data/training\Actor_02\60_02_01_02_01_dogs-sitting_negative.wav,negative
260,data/training\Actor_02\61_02_01_02_01_dogs-sitting-converted-manipulated-_negative.wav,negative
261,data/training\Actor_02\61_02_01_02_01_dogs-sitting_negative.wav,negative
262,data/training\Actor_02\63_02_01_02_01_dogs-sitting-converted-manipulated-_negative.wav,negative
263,data/training\Actor_02\63_02_01_02_01_dogs-sitting_negative.wav,negative
264,data/training\Actor_02\64_02_01_02_01_kids-talking-converted-manipulated-_negative.wav,negative
265,data/training\Actor_02\64_02_01_02_01_kids-talking_negative.wav,negative
266,data/training\Actor_02\65_02_01_02_01_kids-talking-converted-manipulated-_negative.wav,negative
267,data/training\Actor_02\65_02_01_02_01_kids-talking_negative.wav,negative
268,data/training\Actor_02\67_02_01_02_01_kids-talking-manipulated-_negative.wav,negative
269,data/training\Actor_02\67_02_01_02_01_kids-talking_negative.wav,negative
270,data/training\Actor_02\68_02_01_02_02_dogs-sitting-converted-manipulated-_negative.wav,negative
271,data/training\Actor_02\68_02_01_02_02_dogs-sitting_negative.wav,negative
272,data/training\Actor_02\69_02_01_02_02_dogs-sitting-converted-manipulated-_negative.wav,negative
273,data/training\Actor_02\69_02_01_02_02_dogs-sitting_negative.wav,negative
274,data/training\Actor_02\71_02_01_02_02_dogs-sitting-converted-manipulated-_negative.wav,negative
275,data/training\Actor_02\71_02_01_02_02_dogs-sitting_negative.wav,negative
276,data/training\Actor_02\72_02_01_02_02_kids-talking-converted-manipulated-_negative.wav,negative
277,data/training\Actor_02\72_02_01_02_02_kids-talking_negative.wav,negative
278,data/training\Actor_02\73_02_01_02_02_kids-talking-manipulated-_negative.wav,negative
279,data/training\Actor_02\73_02_01_02_02_kids-talking_negative.wav,negative
280,data/training\Actor_02\75_02_01_02_02_kids-talking-converted-manipulated-_negative.wav,negative
281,data/training\Actor_02\75_02_01_02_02_kids-talking_negative.wav,negative
282,data/training\Actor_02\76_02_02_01_01_dogs-sitting-converted-manipulated-_negative.wav,negative
283,data/training\Actor_02\76_02_02_01_01_dogs-sitting_negative.wav,negative
284,data/training\Actor_02\77_02_02_01_01_dogs-sitting-converted-manipulated-_negative.wav,negative
285,data/training\Actor_02\77_02_02_01_01_dogs-sitting_negative.wav,negative
286,data/training\Actor_02\78_02_02_01_01_kids-talking-converted-manipulated-_negative.wav,negative
287,data/training\Actor_02\78_02_02_01_01_kids-talking_negative.wav,negative
288,data/training\Actor_02\79_02_02_01_01_kids-talking-converted-manipulated-_negative.wav,negative
289,data/training\Actor_02\79_02_02_01_01_kids-talking_negative.wav,negative
290,data/training\Actor_02\80_02_02_01_02_dogs-sitting-converted-manipulated-_negative.wav,negative
291,data/training\Actor_02\80_02_02_01_02_dogs-sitting_negative.wav,negative
292,data/training\Actor_02\81_02_02_01_02_dogs-sitting-converted-manipulated-_negative.wav,negative
293,data/training\Actor_02\81_02_02_01_02_dogs-sitting_negative.wav,negative
294,data/training\Actor_02\82_02_02_01_02_kids-talking-converted-manipulated-_negative.wav,negative
295,data/training\Actor_02\82_02_02_01_02_kids-talking_negative.wav,negative
296,data/training\Actor_02\83_02_02_01_02_kids-talking-converted-manipulated-_negative.wav,negative
297,data/training\Actor_02\83_02_02_01_02_kids-talking_negative.wav,negative
298,data/training\Actor_02\84_02_02_02_01_dogs-sitting-converted-manipulated-_negative.wav,negative
299,data/training\Actor_02\84_02_02_02_01_dogs-sitting_negative.wav,negative
300,data/training\Actor_02\85_02_02_02_01_dogs-sitting-manipulated-_negative.wav,negative
301,data/training\Actor_02\85_02_02_02_01_dogs-sitting_negative.wav,negative
302,data/training\Actor_02\86_02_02_02_01_kids-talking-converted-manipulated-_negative.wav,negative
303,data/training\Actor_02\86_02_02_02_01_kids-talking_negative.wav,negative
304,data/training\Actor_02\87_02_02_02_01_kids-talking-converted-manipulated-_negative.wav,negative
305,data/training\Actor_02\87_02_02_02_01_kids-talking_negative.wav,negative
306,data/training\Actor_02\88_02_02_02_02_dogs-sitting-converted-manipulated-_negative.wav,negative
307,data/training\Actor_02\88_02_02_02_02_dogs-sitting_negative.wav,negative
308,data/training\Actor_02\89_02_02_02_02_dogs-sitting-manipulated-_negative.wav,negative
309,data/training\Actor_02\89_02_02_02_02_dogs-sitting_negative.wav,negative
310,data/training\Actor_02\90_02_02_02_02_kids-talking-converted-manipulated-_negative.wav,negative
311,data/training\Actor_02\90_02_02_02_02_kids-talking_negative.wav,negative
312,data/training\Actor_02\91_02_02_02_02_kids-talking-manipulated-_negative.wav,negative
313,data/training\Actor_02\91_02_02_02_02_kids-talking_negative.wav,negative
314,data/training\Actor_03\03-02-04-01-01-01-03-converted-manipulated-_negative.wav,negative
315,data/training\Actor_03\03-02-04-01-01-01-03_negative.wav,negative
316,data/training\Actor_03\03-02-04-01-01-02-03-manipulated-_negative.wav,negative
317,data/training\Actor_03\03-02-04-01-01-02-03_negative.wav,negative
318,data/training\Actor_03\03-02-04-01-02-01-03-manipulated-_negative.wav,negative
319,data/training\Actor_03\03-02-04-01-02-01-03_negative.wav,negative
320,data/training\Actor_03\03-02-04-01-02-02-03-converted-manipulated-_negative.wav,negative
321,data/training\Actor_03\03-02-04-01-02-02-03_negative.wav,negative
322,data/training\Actor_03\03-02-04-02-01-01-03-converted-manipulated-_negative.wav,negative
323,data/training\Actor_03\03-02-04-02-01-01-03_negative.wav,negative
324,data/training\Actor_03\03-02-04-02-01-02-03-converted-manipulated-_negative.wav,negative
325,data/training\Actor_03\03-02-04-02-01-02-03_negative.wav,negative
326,data/training\Actor_03\03-02-04-02-02-01-03-converted-manipulated-_negative.wav,negative
327,data/training\Actor_03\03-02-04-02-02-01-03_negative.wav,negative
328,data/training\Actor_03\03-02-04-02-02-02-03-converted-manipulated-_negative.wav,negative
329,data/training\Actor_03\03-02-04-02-02-02-03_negative.wav,negative
330,data/training\Actor_03\03-02-05-01-01-01-03-manipulated-_negative.wav,negative
331,data/training\Actor_03\03-02-05-01-01-01-03_negative.wav,negative
332,data/training\Actor_03\03-02-05-01-01-02-03-converted-manipulated-_negative.wav,negative
333,data/training\Actor_03\03-02-05-01-01-02-03_negative.wav,negative
334,data/training\Actor_03\03-02-05-01-02-01-03-converted-manipulated-_negative.wav,negative
335,data/training\Actor_03\03-02-05-01-02-01-03_negative.wav,negative
336,data/training\Actor_03\03-02-05-01-02-02-03-converted-manipulated-_negative.wav,negative
337,data/training\Actor_03\03-02-05-01-02-02-03_negative.wav,negative
338,data/training\Actor_03\03-02-05-02-01-01-03-manipulated-_negative.wav,negative
339,data/training\Actor_03\03-02-05-02-01-01-03_negative.wav,negative
340,data/training\Actor_03\03-02-05-02-01-02-03-converted-manipulated-_negative.wav,negative
341,data/training\Actor_03\03-02-05-02-01-02-03_negative.wav,negative
342,data/training\Actor_03\03-02-05-02-02-01-03-converted-manipulated-_negative.wav,negative
343,data/training\Actor_03\03-02-05-02-02-01-03_negative.wav,negative
